Created                  
------------------- ---- 
2009-09-01 00:00:00 26   
2009-10-01 00:00:00 861  
2009-11-01 00:00:00 828  
2009-12-01 00:00:00 749  
2010-01-01 00:00:00 903  
2010-02-01 00:00:00 880  
2010-03-01 00:00:00 977  
2010-04-01 00:00:00 995  
2010-05-01 00:00:00 1061 
2010-06-01 00:00:00 1035 
2010-07-01 00:00:00 1240 
2010-08-01 00:00:00 1096 
2010-09-01 00:00:00 1139 
2010-10-01 00:00:00 1247 
2010-11-01 00:00:00 1197 
2010-12-01 00:00:00 1046 
2011-01-01 00:00:00 1093 
2011-02-01 00:00:00 1042 
2011-03-01 00:00:00 1268 
2011-04-01 00:00:00 1178 
2011-05-01 00:00:00 1103 
2011-06-01 00:00:00 1038 
2011-07-01 00:00:00 1060 
2011-08-01 00:00:00 1032 
2011-09-01 00:00:00 1119 
2011-10-01 00:00:00 1217 
2011-11-01 00:00:00 1166 
2011-12-01 00:00:00 967  
2012-01-01 00:00:00 1132 
2012-02-01 00:00:00 1229 
2012-03-01 00:00:00 1268 
2012-04-01 00:00:00 1225 
2012-05-01 00:00:00 1263 
2012-06-01 00:00:00 1096 
2012-07-01 00:00:00 1056 
2012-08-01 00:00:00 1024 
2012-09-01 00:00:00 1102 
2012-10-01 00:00:00 1190 
2012-11-01 00:00:00 1380 
2012-12-01 00:00:00 1215 
2013-01-01 00:00:00 1230 
2013-02-01 00:00:00 1276 
2013-03-01 00:00:00 1357 
2013-04-01 00:00:00 1524 
2013-05-01 00:00:00 1544 
2013-06-01 00:00:00 1380 
2013-07-01 00:00:00 1386 
2013-08-01 00:00:00 1330 
2013-09-01 00:00:00 1406 
2013-10-01 00:00:00 1527 
2013-11-01 00:00:00 1503 
2013-12-01 00:00:00 1410 
2014-01-01 00:00:00 1598 
2014-02-01 00:00:00 1444 
2014-03-01 00:00:00 1640 
2014-04-01 00:00:00 1502 
2014-05-01 00:00:00 1494 
2014-06-01 00:00:00 1220 
2014-07-01 00:00:00 1315 
2014-08-01 00:00:00 1185 
2014-09-01 00:00:00 1291 
2014-10-01 00:00:00 1456 
2014-11-01 00:00:00 1424 
2014-12-01 00:00:00 1315 
2015-01-01 00:00:00 1395 
2015-02-01 00:00:00 1336 
2015-03-01 00:00:00 1588 
2015-04-01 00:00:00 1494 
2015-05-01 00:00:00 1514 
2015-06-01 00:00:00 1446 
2015-07-01 00:00:00 1265 
2015-08-01 00:00:00 1273 
2015-09-01 00:00:00 1400 
2015-10-01 00:00:00 1418 
2015-11-01 00:00:00 1484 
2015-12-01 00:00:00 1338 
2016-01-01 00:00:00 1358 
2016-02-01 00:00:00 1458 
2016-03-01 00:00:00 1509 
2016-04-01 00:00:00 1505 
2016-05-01 00:00:00 1412 
2016-06-01 00:00:00 1372 
2016-07-01 00:00:00 1223 
2016-08-01 00:00:00 1325 
2016-09-01 00:00:00 1331 
2016-10-01 00:00:00 1430 
2016-11-01 00:00:00 1493 
2016-12-01 00:00:00 1332 
2017-01-01 00:00:00 1451 
2017-02-01 00:00:00 1371 
2017-03-01 00:00:00 1540 
2017-04-01 00:00:00 1511 
2017-05-01 00:00:00 1368 
2017-06-01 00:00:00 1275 
2017-07-01 00:00:00 1287 
2017-08-01 00:00:00 1396 
2017-09-01 00:00:00 1289 
2017-10-01 00:00:00 1449 
2017-11-01 00:00:00 1408 
2017-12-01 00:00:00 1258 
2018-01-01 00:00:00 1264 
2018-02-01 00:00:00 1319 
2018-03-01 00:00:00 1461 
2018-04-01 00:00:00 1396 
2018-05-01 00:00:00 1523 
2018-06-01 00:00:00 1357 
2018-07-01 00:00:00 1304 
2018-08-01 00:00:00 1276 
2018-09-01 00:00:00 1232 
2018-10-01 00:00:00 1491 
2018-11-01 00:00:00 1389 
2018-12-01 00:00:00 1293 
2019-01-01 00:00:00 1379 
2019-02-01 00:00:00 1289 
2019-03-01 00:00:00 1466 
2019-04-01 00:00:00 1557 
2019-05-01 00:00:00 1553 
2019-06-01 00:00:00 1297 
2019-07-01 00:00:00 1296 
2019-08-01 00:00:00 1341 
2019-09-01 00:00:00 1352 
2019-10-01 00:00:00 1352 
2019-11-01 00:00:00 1418 
2019-12-01 00:00:00 1223 
2020-01-01 00:00:00 1275 
2020-02-01 00:00:00 1313 
2020-03-01 00:00:00 1461 
2020-04-01 00:00:00 1710 
2020-05-01 00:00:00 1709 
2020-06-01 00:00:00 1595 
2020-07-01 00:00:00 1491 
2020-08-01 00:00:00 1501 
2020-09-01 00:00:00 1536 
2020-10-01 00:00:00 1441 
2020-11-01 00:00:00 1502 
2020-12-01 00:00:00 1377 
2021-01-01 00:00:00 1507 
2021-02-01 00:00:00 1465 
2021-03-01 00:00:00 1647 
2021-04-01 00:00:00 1568 
2021-05-01 00:00:00 1569 
2021-06-01 00:00:00 1406 
2021-07-01 00:00:00 1308 
2021-08-01 00:00:00 1286 
2021-09-01 00:00:00 1362 
2021-10-01 00:00:00 1368 
2021-11-01 00:00:00 1373 
