Created                   
------------------- ----- 
2010-03-01 00:00:00 1     
2010-07-01 00:00:00 342   
2010-08-01 00:00:00 640   
2010-09-01 00:00:00 622   
2010-10-01 00:00:00 922   
2010-11-01 00:00:00 1313  
2010-12-01 00:00:00 1212  
2011-01-01 00:00:00 1285  
2011-02-01 00:00:00 1626  
2011-03-01 00:00:00 2104  
2011-04-01 00:00:00 2278  
2011-05-01 00:00:00 2320  
2011-06-01 00:00:00 2131  
2011-07-01 00:00:00 2107  
2011-08-01 00:00:00 2330  
2011-09-01 00:00:00 2993  
2011-10-01 00:00:00 3444  
2011-11-01 00:00:00 3871  
2011-12-01 00:00:00 3240  
2012-01-01 00:00:00 3581  
2012-02-01 00:00:00 4287  
2012-03-01 00:00:00 4643  
2012-04-01 00:00:00 5040  
2012-05-01 00:00:00 5284  
2012-06-01 00:00:00 4875  
2012-07-01 00:00:00 4601  
2012-08-01 00:00:00 4435  
2012-09-01 00:00:00 5526  
2012-10-01 00:00:00 7864  
2012-11-01 00:00:00 8575  
2012-12-01 00:00:00 7874  
2013-01-01 00:00:00 8352  
2013-02-01 00:00:00 9627  
2013-03-01 00:00:00 11509 
2013-04-01 00:00:00 12367 
2013-05-01 00:00:00 12189 
2013-06-01 00:00:00 9973  
2013-07-01 00:00:00 9365  
2013-08-01 00:00:00 9672  
2013-09-01 00:00:00 12535 
2013-10-01 00:00:00 16108 
2013-11-01 00:00:00 16927 
2013-12-01 00:00:00 14981 
2014-01-01 00:00:00 14882 
2014-02-01 00:00:00 15620 
2014-03-01 00:00:00 17506 
2014-04-01 00:00:00 18605 
2014-05-01 00:00:00 17185 
2014-06-01 00:00:00 14129 
2014-07-01 00:00:00 12617 
2014-08-01 00:00:00 12576 
2014-09-01 00:00:00 16552 
2014-10-01 00:00:00 20656 
2014-11-01 00:00:00 20319 
2014-12-01 00:00:00 17145 
2015-01-01 00:00:00 17617 
2015-02-01 00:00:00 18099 
2015-03-01 00:00:00 20498 
2015-04-01 00:00:00 20295 
2015-05-01 00:00:00 20086 
2015-06-01 00:00:00 16610 
2015-07-01 00:00:00 14699 
2015-08-01 00:00:00 14817 
2015-09-01 00:00:00 18828 
2015-10-01 00:00:00 22670 
2015-11-01 00:00:00 22085 
2015-12-01 00:00:00 18421 
2016-01-01 00:00:00 17660 
2016-02-01 00:00:00 18772 
2016-03-01 00:00:00 20589 
2016-04-01 00:00:00 20967 
2016-05-01 00:00:00 19557 
2016-06-01 00:00:00 16211 
2016-07-01 00:00:00 13777 
2016-08-01 00:00:00 13974 
2016-09-01 00:00:00 17626 
2016-10-01 00:00:00 21285 
2016-11-01 00:00:00 21213 
2016-12-01 00:00:00 18328 
2017-01-01 00:00:00 19620 
2017-02-01 00:00:00 19840 
2017-03-01 00:00:00 21600 
2017-04-01 00:00:00 21485 
2017-05-01 00:00:00 20855 
2017-06-01 00:00:00 16513 
2017-07-01 00:00:00 14668 
2017-08-01 00:00:00 15121 
2017-09-01 00:00:00 17742 
2017-10-01 00:00:00 22286 
2017-11-01 00:00:00 21965 
2017-12-01 00:00:00 18804 
2018-01-01 00:00:00 19239 
2018-02-01 00:00:00 18669 
2018-03-01 00:00:00 20321 
2018-04-01 00:00:00 20868 
2018-05-01 00:00:00 19790 
2018-06-01 00:00:00 15458 
2018-07-01 00:00:00 13520 
2018-08-01 00:00:00 14392 
2018-09-01 00:00:00 16702 
2018-10-01 00:00:00 20359 
2018-11-01 00:00:00 19874 
2018-12-01 00:00:00 16996 
2019-01-01 00:00:00 17590 
2019-02-01 00:00:00 16549 
2019-03-01 00:00:00 19174 
2019-04-01 00:00:00 18636 
2019-05-01 00:00:00 18351 
2019-06-01 00:00:00 15005 
2019-07-01 00:00:00 13930 
2019-08-01 00:00:00 13620 
2019-09-01 00:00:00 16091 
2019-10-01 00:00:00 20054 
2019-11-01 00:00:00 20162 
2019-12-01 00:00:00 17477 
2020-01-01 00:00:00 17494 
2020-02-01 00:00:00 17286 
2020-03-01 00:00:00 19737 
2020-04-01 00:00:00 24958 
2020-05-01 00:00:00 24571 
2020-06-01 00:00:00 20429 
2020-07-01 00:00:00 16762 
2020-08-01 00:00:00 16232 
2020-09-01 00:00:00 18169 
2020-10-01 00:00:00 21488 
2020-11-01 00:00:00 21237 
2020-12-01 00:00:00 20029 
2021-01-01 00:00:00 19781 
2021-02-01 00:00:00 18322 
2021-03-01 00:00:00 20940 
2021-04-01 00:00:00 19911 
2021-05-01 00:00:00 18897 
2021-06-01 00:00:00 15470 
2021-07-01 00:00:00 13125 
2021-08-01 00:00:00 12456 
2021-09-01 00:00:00 13807 
2021-10-01 00:00:00 16084 
2021-11-01 00:00:00 15824 
2021-12-01 00:00:00 13962 
2022-01-01 00:00:00 13811 
2022-02-01 00:00:00 12637 
2022-03-01 00:00:00 13646 
2022-04-01 00:00:00 13126 
2022-05-01 00:00:00 13371 
2022-06-01 00:00:00 11738 
2022-07-01 00:00:00 10677 
2022-08-01 00:00:00 10118 
2022-09-01 00:00:00 11307 
2022-10-01 00:00:00 13407 
2022-11-01 00:00:00 13265 
2022-12-01 00:00:00 11626 
2023-01-01 00:00:00 11524 
2023-02-01 00:00:00 10519 
2023-03-01 00:00:00 12021 
2023-04-01 00:00:00 11196 
2023-05-01 00:00:00 11607 
2023-06-01 00:00:00 10029 
2023-07-01 00:00:00 9528  
2023-08-01 00:00:00 9069  
2023-09-01 00:00:00 9733  
2023-10-01 00:00:00 11476 
2023-11-01 00:00:00 11590 
2023-12-01 00:00:00 10151 
2024-01-01 00:00:00 10022 
2024-02-01 00:00:00 9654  
2024-03-01 00:00:00 10216 
2024-04-01 00:00:00 9967  
2024-05-01 00:00:00 9585  
2024-06-01 00:00:00 7936  
2024-07-01 00:00:00 7166  
2024-08-01 00:00:00 6834  
2024-09-01 00:00:00 7147  
2024-10-01 00:00:00 7768  
2024-11-01 00:00:00 7119  
2024-12-01 00:00:00 6613  
2025-01-01 00:00:00 6675  
2025-02-01 00:00:00 5640  
2025-03-01 00:00:00 5813  
2025-04-01 00:00:00 5102  
2025-05-01 00:00:00 4792  
2025-06-01 00:00:00 4432  
2025-07-01 00:00:00 3681  
2025-08-01 00:00:00 3089  
2025-09-01 00:00:00 2731  
2025-10-01 00:00:00 2907  
2025-11-01 00:00:00 2545  
2025-12-01 00:00:00 2207  
2026-01-01 00:00:00 2219  
2026-02-01 00:00:00 1886  
2026-03-01 00:00:00 1642
